Order Date,Product,Category,Region,Sales,Quantity
2023-01-01,Headphones,Accessories,East,27144,7
2023-01-02,Monitor,Accessories,South,5000,9
2023-01-03,Tablet,Accessories,East,6052,8
2023-01-04,Monitor,Electronics,East,36506,6
2023-01-05,Monitor,Electronics,South,29074,8
2023-01-06,Phone,Accessories,South,39155,5
2023-01-07,Tablet,Accessories,South,41770,8
2023-01-08,Tablet,Electronics,North,33320,4
2023-01-09,Tablet,Electronics,West,39304,8
2023-01-10,Monitor,Accessories,North,47247,2
2023-01-11,Headphones,Electronics,North,4913,5
2023-01-12,Tablet,Accessories,East,18450,9
2023-01-13,Monitor,Accessories,South,25107,4
2023-01-14,Phone,Electronics,West,21764,6
2023-01-15,Headphones,Electronics,East,44404,1
2023-01-16,Phone,Accessories,North,21491,9
2023-01-17,Headphones,Accessories,South,39494,1
2023-01-18,Monitor,Electronics,East,4373,5
2023-01-19,Laptop,Accessories,South,13161,4
2023-01-20,Headphones,Electronics,East,32996,3
2023-01-21,Phone,Accessories,South,28122,6
2023-01-22,Monitor,Electronics,North,35850,2
2023-01-23,Headphones,Electronics,West,28350,3
2023-01-24,Laptop,Electronics,North,28472,5
2023-01-25,Laptop,Accessories,West,29761,9
2023-01-26,Tablet,Accessories,South,26351,2
2023-01-27,Tablet,Electronics,East,24132,8
2023-01-28,Phone,Accessories,North,16305,2
2023-01-29,Headphones,Electronics,West,10817,5
2023-01-30,Headphones,Electronics,North,12261,7
2023-01-31,Tablet,Accessories,West,1417,8
2023-02-01,Headphones,Accessories,North,42576,1
2023-02-02,Headphones,Electronics,West,21358,6
2023-02-03,Laptop,Accessories,West,4267,1
2023-02-04,Tablet,Accessories,South,18209,2
2023-02-05,Monitor,Electronics,West,25052,1
2023-02-06,Tablet,Electronics,South,39513,5
2023-02-07,Monitor,Accessories,West,27092,9
2023-02-08,Laptop,Electronics,East,12338,6
2023-02-09,Phone,Electronics,East,1412,1
2023-02-10,Headphones,Accessories,East,8543,1
2023-02-11,Laptop,Electronics,West,41355,2
2023-02-12,Headphones,Electronics,South,34496,9
2023-02-13,Phone,Accessories,South,24548,3
2023-02-14,Phone,Accessories,West,28384,1
2023-02-15,Laptop,Electronics,East,45425,5
2023-02-16,Phone,Electronics,East,39756,7
2023-02-17,Monitor,Accessories,South,19888,6
2023-02-18,Phone,Accessories,East,36735,1
2023-02-19,Headphones,Accessories,North,48295,5
2023-02-20,Headphones,Accessories,South,49816,5
2023-02-21,Headphones,Electronics,East,18506,6
2023-02-22,Headphones,Accessories,South,21463,3
2023-02-23,Monitor,Accessories,North,18955,5
2023-02-24,Tablet,Electronics,South,38841,7
2023-02-25,Laptop,Accessories,South,6104,5
2023-02-26,Headphones,Electronics,South,35911,5
2023-02-27,Phone,Accessories,South,24190,5
2023-02-28,Headphones,Accessories,North,8357,3
2023-03-01,Phone,Accessories,West,33479,1
2023-03-02,Phone,Electronics,South,45811,5
2023-03-03,Headphones,Electronics,South,37208,9
2023-03-04,Monitor,Accessories,East,21150,1
2023-03-05,Phone,Electronics,South,6644,3
2023-03-06,Phone,Electronics,East,44286,4
2023-03-07,Headphones,Electronics,West,48320,1
2023-03-08,Phone,Electronics,North,3914,1
2023-03-09,Phone,Electronics,North,22352,8
2023-03-10,Headphones,Electronics,West,47352,2
2023-03-11,Headphones,Accessories,North,45912,8
2023-03-12,Laptop,Accessories,West,15397,7
2023-03-13,Monitor,Electronics,West,42555,2
2023-03-14,Monitor,Accessories,West,47959,6
2023-03-15,Phone,Accessories,North,1728,6
2023-03-16,Monitor,Accessories,East,1698,3
2023-03-17,Phone,Accessories,West,40954,2
2023-03-18,Laptop,Electronics,South,48280,1
2023-03-19,Headphones,Accessories,North,14923,6
2023-03-20,Headphones,Accessories,West,17779,5
2023-03-21,Headphones,Electronics,West,8400,9
2023-03-22,Monitor,Electronics,South,25466,1
2023-03-23,Laptop,Accessories,East,37939,7
2023-03-24,Monitor,Accessories,East,5360,5
2023-03-25,Monitor,Accessories,East,36270,5
